STATE,REGION,ACS_PCT_CTZ_US_BORN_ZC,ACS_PCT_FOREIGN_BORN_ZC,new_zipcode
Massachusetts,Northeast,92.46,7.54,02357
Massachusetts,Northeast,92.46,7.54,02356
Massachusetts,Northeast,92.46,7.54,02334
Massachusetts,Northeast,95.5,4.5,02359
Massachusetts,Northeast,95.5,4.5,02358
Massachusetts,Northeast,95.5,4.5,02327
Massachusetts,Northeast,93.96,6.04,02360
Massachusetts,Northeast,93.96,6.04,02362
Massachusetts,Northeast,93.96,6.04,02361
Massachusetts,Northeast,93.96,6.04,02381
Massachusetts,Northeast,93.96,6.04,02345
Massachusetts,Northeast,96.81,3.19,02364
Massachusetts,Northeast,96.98,3.02,02367
Massachusetts,Northeast,61.23,38.77,02368
Massachusetts,Northeast,93.59,6.41,02370
Massachusetts,Northeast,88.83,11.17,02375
Massachusetts,Northeast,95.56,4.44,02379
Massachusetts,Northeast,95.24,4.76,02382
Massachusetts,Northeast,69.65,30.35,02420
Massachusetts,Northeast,69.08,30.92,02421
Massachusetts,Northeast,74.18,25.82,02445
Massachusetts,Northeast,74.18,25.82,02447
Massachusetts,Northeast,65.74,34.26,02446
Massachusetts,Northeast,74.02,25.98,02455
Massachusetts,Northeast,74.02,25.98,02451
Massachusetts,Northeast,72.07,27.93,02452
Massachusetts,Northeast,71.38,28.62,02454
Massachusetts,Northeast,71.38,28.62,02453
Massachusetts,Northeast,72.65,27.35,02495
Massachusetts,Northeast,72.65,27.35,02458
Massachusetts,Northeast,76.51,23.49,02459
Massachusetts,Northeast,77.62,22.38,02460
Massachusetts,Northeast,72.14,27.86,02461
Massachusetts,Northeast,80.03,19.97,02462
Massachusetts,Northeast,70.16,29.84,02464
Massachusetts,Northeast,81.94,18.06,02465
Massachusetts,Northeast,75.72,24.28,02466
Massachusetts,Northeast,75.85,24.15,02467
Massachusetts,Northeast,77.92,22.08,02468
Massachusetts,Northeast,74.67,25.33,02471
Massachusetts,Northeast,74.67,25.33,02472
Massachusetts,Northeast,74.67,25.33,02477
Massachusetts,Northeast,74.67,25.33,02456
Massachusetts,Northeast,77.79,22.21,02474
Massachusetts,Northeast,83.4,16.6,02475
Massachusetts,Northeast,83.4,16.6,02476
Massachusetts,Northeast,72.22,27.78,02478
Massachusetts,Northeast,72.22,27.78,02479
Massachusetts,Northeast,84.93,15.07,02481
Massachusetts,Northeast,84.93,15.07,02457
Massachusetts,Northeast,76.1,23.9,02482
Massachusetts,Northeast,87.4,12.6,02492
Massachusetts,Northeast,78.92,21.08,02493
Massachusetts,Northeast,81.0,19.0,02494
Massachusetts,Northeast,91.77,8.23,02532
Massachusetts,Northeast,98.24,1.76,02534
Massachusetts,Northeast,94.36,5.64,02535
Massachusetts,Northeast,94.36,5.64,02552
Massachusetts,Northeast,94.28,5.72,02536
Massachusetts,Northeast,94.02,5.98,02537
Massachusetts,Northeast,97.38,2.62,02538
Massachusetts,Northeast,81.12,18.88,02539
Massachusetts,Northeast,88.34,11.66,02574
Massachusetts,Northeast,88.34,11.66,02541
Massachusetts,Northeast,88.34,11.66,02540
Massachusetts,Northeast,86.18,13.82,02542
Massachusetts,Northeast,89.26,10.74,02543
Massachusetts,Northeast,82.69,17.31,02554
Massachusetts,Northeast,82.69,17.31,02584
Massachusetts,Northeast,94.56,5.44,02556
Massachusetts,Northeast,94.58,5.42,02557
Massachusetts,Northeast,99.57,0.43,02558
Massachusetts,Northeast,97.71,2.29,02559
Massachusetts,Northeast,97.71,2.29,02553
Massachusetts,Northeast,100.0,0.0,02561
Massachusetts,Northeast,93.78,6.22,02562
Massachusetts,Northeast,94.55,5.45,02563
Massachusetts,Northeast,99.47,0.53,02564
Massachusetts,Northeast,77.81,22.19,02568
Massachusetts,Northeast,96.11,3.89,02571
Massachusetts,Northeast,90.76,9.24,02575
Massachusetts,Northeast,96.74,3.26,02576
